Code;;Groundedness;Density;Groups;Number of Groups;Comment;Creator;Creation Date;Modifier;Modification Date
;○ crime will happen;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ critical mass of users exists;2;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ darkness causes danger;1;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ emergency contacts are available;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ existing community;5;0;;0;Where applicable, this code includes the bundled premise that the user's community is itself non-threatening: applies to WS3 'You have a community (that's safe)' and equivalents.;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ footage is accessible and usable as evidence;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ friends are reachable;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ government is trustworthy;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ help is accessible;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ helpers are nearby;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ home is safety endpoint;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ interpersonal surveillance is acceptable;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ lighting = safety;4;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ local police are trustworthy;5;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ neighbours are on good terms;2;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ neighbours are trustworthy;4;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ neighbours have good intentions;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ others act and care;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ others willing to be safety contact;1;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ people are dependable;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ phone-less context exists;2;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ place-safety judgements are accurate;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ police is available to intervene;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ prevention is not required;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ privacy is dispensable for safety;3;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ residents define suspicion legitimately;1;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ responsibility is not with user;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ responsibility is shared;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ solution data is not misused;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ solution has multilevel benefits;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ solution improves felt safety;3;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ solution is always accessible;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ solution is foolproof;2;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ solution is physically accessible;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ solution is used before/during attack;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ solution is used by intended user;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ solution is used only for safety;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ solution is within reach;2;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ solution placement reflects risk;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ solution provides defense mechanism;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ solution provides effective defense;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ solution signals local risk;2;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ solution-use de-escalates threat;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ solutions function reliably;4;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ solutions is preventative;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ spatial proximity to solution = safety;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ surveillance > privacy in priority;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ surveillance covers threat-location;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ surveillance infrastructures interlock;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ surveillance shapes behaviour;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ systems are reliable;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ threats are strangers;3;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ threshold for use is clear;2;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ tracking is acceptable;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ unsafety = mortal danger;4;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ user can act in emergency;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ user can afford solution;2;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ user can objectively assess threat-attention;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ user can objectively assess threats;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ user carries solution consistently;1;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ user has emergency contacts;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ user has physical freedom during attack;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ user has physical strength;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ user has social safety net;1;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ user knows location;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ user maintains solution preparedness;3;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ user needs trusted others;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ user trusts solution;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ user vigilance;3;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ user wants community membership;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ user wants to wear solution;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ user's community is safe;0;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ user-place familiarity;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ users can identify threats;2;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ users do not abuse solution;1;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ users feel unsafe in low visibility;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ users have digital literacy;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ users know when they feel unsafe;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ users share location by default;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ users want less safety-preoccupation;1;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ users willing to share data;3;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ users would want to use this;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ visibility = safety;5;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ visibility/noise deters crime;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
○ attention;;1;0;In vivo codes;1;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
○ authority presence as safety;;2;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ autonomous;;1;0;In vivo codes;1;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
○ Autonomy;;2;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Autonomy [Autonomie];;1;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Backup/reinforcements [Hulptroepen];;1;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ behvaiour anticipation as safety;;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ being alone as unsafe condition;;9;0;;0;;Kaylee Wu;5/15/2026;Kaylee Wu;5/15/2026
○ being approached;;1;0;In vivo codes;1;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
○ being free;;1;0;In vivo codes;1;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
○ burden-bearer;;56;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ collective/community;12;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ institutional/authority;15;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ others;10;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ refused/none;6;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ user;17;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ bystander effect critique;;2;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ choice as safety;;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ community;;2;0;In vivo codes;1;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
○ community as safety;;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Context of area;;2;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ controlled environment as safety;;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Creep Alert;;1;0;In vivo codes;1;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
○ crime history as safety axis;;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ critique;;3;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ solution gap;3;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ cross-presentation as protective strategy;;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ crowd density;;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ too high as unsafe;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ crowds as safety;;3;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ cycling context as unsafe condition;;4;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Darkness;;2;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ darkness as unsafe condition;;6;0;;0;;Kaylee Wu;5/15/2026;Kaylee Wu;5/15/2026
○ dating context as safety condition;;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ day as safe time;;3;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ daylight as safety;;2;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Degree of danger [Mate van gevaar];;1;0;In vivo codes;1;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
○ Degree of danger [Mate van gevaar]  [NEW THEME EMERGED];;0;0;In vivo codes;1;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
○ Dependency [Afhankelijkheid];;2;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ dependent relational support as safety;;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ design-move;;55;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;"○ ""Add Creep"" feature (user-added perpetrator profiles)";2;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;"○ ""Creep Board"" notification/comment feed";1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ app named Creep Alert;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ bluetooth-based perpetrator marking;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ care provision in safe space;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ customisable form (necklace, bracelet, pendant interchangeable);2;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ device recharging in safe space;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ digital-physical hybrid community;2;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ drone as friend-welfare-check;2;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ drone as protective entity;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ drone presence as deterrent;2;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ drone with command-based escalation;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ drone with spray/sound counteraction;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ easily summonable on-demand;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ educational content library;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ educational workshop videos;2;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ filming and audio recording;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ filterable content (by teacher, by category);2;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ fine for mis-pressing (anti-misuse mechanism);2;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ forum for experience-sharing (good and bad);1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ free duration of stay in safe space;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ friend-alert when creep nearby;2;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ friends visible on map;2;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ glitter paint marking of attacker;2;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ human police officer response option;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;"○ identity-based access (""identifies as female"")";1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ incident reporting (location, time);1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ integration of incident-report with marking-system;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ jail for female-identifying users who use product to commit crimes;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ joinable groups within community;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ language auto-translation;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ light function (flashlight overhead);1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ list of reported perpetrators;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ location map with friends' locations;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ location safety reviews (with descriptions);2;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ mark-removal via behavioural-change participation;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ modular function activation;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ multi-functional community app;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ municipality integration;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ necklace wearable with customisable pendant;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ no-device-required deployment;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ open-text descriptive field;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ optional location-sharing;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ optional social notifications;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ passport/ID verification for account creation;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ peer-response in neighbourhood;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ peer-to-peer creep proximity warning;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ Pink Glittery Drones (companion drones);1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ place-marking system;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ police-monitored footage;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ post-deterrent monitoring (light + tracking + arrival check);1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ public marking of accounts;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ public visibility of attacker-identification;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ rehabilitation workshops for marked individuals;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ Robocop response option;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ route-planning to avoid risk;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ rule structure governing safe-space access;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ SOS button for friend-in-danger (proposed addition);1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ SOS button with three response options;2;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ spotted-creep map markers (red, with pictures);1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ stand-by/ambient drone mode;2;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ structured survey-based safety rating;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ support-or-fine binary outcome;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ surveillance-of-surveillance (anti-misuse mechanism);1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ teacher-based content discovery;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ teleportation to female-only safe space (tea, calming, decision and mental support);3;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ threatening-person reporting in reviews;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ threshold-based escalation to authorities (10 reports);1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ tiered support options (peer, therapist, expert-by-experience);1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ unlimited hugs;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ user command-control over drone functions;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ user-chose return location;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ user-initiated perpetrator-mapping in scenario;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;"○ voice activation (""call word"")";1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
○ digital context as unsafe;;0;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ digital environment as unsafe;;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ effect;;31;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ solution attracts attention;3;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ solution causes light pollution;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ solution deters threats;4;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ solution illuminates threats;1;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ solution improves felt safety;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ solution increases area activity;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ solution is reactive not preventative;3;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ solution is subtle;4;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ solution leads to low autonomy;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ solution produces false sense of safety;2;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ solution produces sustained engagement;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ solution produces visibility;4;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ solution provides phone alternative;1;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ solution reduces safety-preoccupation;1;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ solution requires high effort;2;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ solution shares location with others;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
○ Empowering;;2;0;In vivo codes;1;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
○ Familiarity;;2;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ familiarity with people as safety;;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ familiarity with place as safety;;4;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ feeling of safety;;1;0;In vivo codes;1;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
○ framing;;323;0;;0;;Kaylee Wu;5/15/2026;Kaylee Wu;5/16/2026
;○ accountability/evidence-based safety;11;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ agency aspiration;32;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ agency loss;5;0;;0;;Kaylee Wu;5/15/2026;Kaylee Wu;5/15/2026
;○ appearance as safety axis;5;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ definitional power critique;11;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ empowerment via marking/surveillance;23;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ epistemic safety;23;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ gendered nuance;3;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ idealised operating conditions;46;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ idealised user model;53;0;;0;Applied to assumption stickies that name a property the solution presumes its user has: physical, cognitive, social, emotional, or material capacity. Individual stickies may be thin, but accumulated groundings collectively map the implicit user-model of mainstream safety tech and solutions.;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ institutional trust;10;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ managing access;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ misuse-risk critique;5;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ peer/community trust;15;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ personal space;5;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ privacy-safety tradeoff;21;0;;0;Three surveillance modalities have surfaced in groundings: institutional, interpersonal, embodied. The specific modality is carried by the co-applied assumption: code rather than by framing sub-types;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
